alternative,image/alternative
appledouble,multipart/appledouble
byteranges,multipart/byteranges
digest,image/digest
encrypted,multipart/encrypted
example,multipart/example
form-data,multipart/form-data
header-set,multipart/header-set
mixed,image/mixed
multilingual,multipart/multilingual
parallel,image/parallel
related,multipart/related
report,multipart/report
signed,multipart/signed
vnd.bint.med-plus,multipart/vnd.bint.med-plus
voice-message,multipart/voice-message
x-mixed-replace,multipart/x-mixed-replace
