1d-interleaved-parityfec,text/1d-interleaved-parityfec
cache-manifest,text/cache-manifest
calendar,text/calendar
cql,text/cql
cql-expression,text/cql-expression
cql-identifier,text/cql-identifier
css,text/css
csv,text/csv
csv-schema,text/csv-schema
directory - DEPRECATED by RFC6350,text/directory
dns,text/dns
ecmascript - OBSOLETED in favor of application/ecmascript,text/ecmascript
encaprtp,text/encaprtp
enriched,image/enriched
example,text/example
fhirpath,text/fhirpath
flexfec,text/flexfec
fwdred,text/fwdred
gff3,text/gff3
grammar-ref-list,text/grammar-ref-list
html,text/html
javascript - OBSOLETED in favor of application/javascript,text/javascript
jcr-cnd,text/jcr-cnd
markdown,text/markdown
mizar,text/mizar
n3,text/n3
parameters,text/parameters
parityfec,text/parityfec
plain,image/plain
provenance-notation,text/provenance-notation
prs.fallenstein.rst,text/prs.fallenstein.rst
prs.lines.tag,text/prs.lines.tag
prs.prop.logic,text/prs.prop.logic
raptorfec,text/raptorfec
RED,text/RED
rfc822-headers,text/rfc822-headers
richtext,image/richtext
rtf,text/rtf
rtp-enc-aescm128,text/rtp-enc-aescm128
rtploopback,text/rtploopback
rtx,text/rtx
SGML,text/SGML
shaclc,text/shaclc
shex,text/shex
spdx,text/spdx
strings,text/strings
t140,text/t140
tab-separated-values,text/tab-separated-values
troff,text/troff
turtle,text/turtle
ulpfec,text/ulpfec
uri-list,text/uri-list
vcard,text/vcard
vnd.a,text/vnd.a
vnd.abc,text/vnd.abc
vnd.ascii-art,text/vnd.ascii-art
vnd.curl,text/vnd.curl
vnd.debian.copyright,text/vnd.debian.copyright
vnd.DMClientScript,text/vnd.DMClientScript
vnd.dvb.subtitle,text/vnd.dvb.subtitle
vnd.esmertec.theme-descriptor,text/vnd.esmertec.theme-descriptor
vnd.ficlab.flt,text/vnd.ficlab.flt
vnd.fly,text/vnd.fly
vnd.fmi.flexstor,text/vnd.fmi.flexstor
vnd.gml,text/vnd.gml
vnd.graphviz,text/vnd.graphviz
vnd.hans,text/vnd.hans
vnd.hgl,text/vnd.hgl
vnd.in3d.3dml,text/vnd.in3d.3dml
vnd.in3d.spot,text/vnd.in3d.spot
vnd.IPTC.NewsML,text/vnd.IPTC.NewsML
vnd.IPTC.NITF,text/vnd.IPTC.NITF
vnd.latex-z,text/vnd.latex-z
vnd.motorola.reflex,text/vnd.motorola.reflex
vnd.ms-mediapackage,text/vnd.ms-mediapackage
vnd.net2phone.commcenter.command,text/vnd.net2phone.commcenter.command
vnd.radisys.msml-basic-layout,text/vnd.radisys.msml-basic-layout
vnd.senx.warpscript,text/vnd.senx.warpscript
vnd.si.uricatalogue - OBSOLETED by request,text/vnd.si.uricatalogue
vnd.sun.j2me.app-descriptor,text/vnd.sun.j2me.app-descriptor
vnd.sosi,text/vnd.sosi
vnd.trolltech.linguist,text/vnd.trolltech.linguist
vnd.wap.si,text/vnd.wap.si
vnd.wap.sl,text/vnd.wap.sl
vnd.wap.wml,text/vnd.wap.wml
vnd.wap.wmlscript,text/vnd.wap.wmlscript
vtt,text/vtt
xml,text/xml
xml-external-parsed-entity,text/xml-external-parsed-entity
